id,titolo,genere,regista,anno,durataMinuti,etaMinima,dataOra,costoBiglietto
7293,Casino,Crime,Martin Scorsese,1995,178,12,2019-10-14 14:00,6.50
7294,Magnolia,Drama,Paul Thomas Anderson,1999,188,16,2019-10-14 10:00,8.00
7295,La planète sauvage,Animation,René Laloux,1973,72,0,2019-10-13 16:00,7.50
7296,First Blood,Action,Ted Kotcheff,1982,93,12,2019-10-13 13:30,6.50
7297,The Manchurian Candidate,Drama,John Frankenheimer,1962,126,12,2019-10-13 10:30,7.50
7298,The Fifth Element,Action,Luc Besson,1997,126,12,2019-10-12 17:00,7.50
7299,The Circus,Comedy,Charles Chaplin,1928,72,12,2019-10-12 15:00,8.50
7300,First Blood,Action,Ted Kotcheff,1982,93,12,2019-10-12 12:30,6.50
7301,The Ladykillers,Comedy,Alexander Mackendrick,1955,91,12,2019-10-12 10:00,8.00
7302,First Blood,Action,Ted Kotcheff,1982,93,12,2019-10-11 15:30,7.00
7303,First Blood,Action,Ted Kotcheff,1982,93,12,2019-10-11 13:00,6.50
7304,The Ladykillers,Comedy,Alexander Mackendrick,1955,91,12,2019-10-11 10:30,6.50
7305,Clerks,Comedy,Kevin Smith,1994,92,16,2019-10-10 13:30,8.50
7306,Inherit the Wind,Biography,Stanley Kramer,1960,128,12,2019-10-10 10:30,6.50
7307,On the Waterfront,Crime,Elia Kazan,1954,108,12,2019-10-09 15:00,8.00
7308,Ben-Hur,Adventure,William Wyler,1959,212,0,2019-10-09 10:30,8.00
7309,Casino,Crime,Martin Scorsese,1995,178,12,2019-10-08 15:30,6.50
7310,La double vie de Véronique,Drama,Krzysztof Kieslowski,1991,98,16,2019-10-08 13:00,7.50
7311,La double vie de Véronique,Drama,Krzysztof Kieslowski,1991,98,16,2019-10-08 10:30,8.00
7312,Donnie Brasco,Biography,Mike Newell,1997,127,12,2019-10-07 10:00,8.00
7313,Magnolia,Drama,Paul Thomas Anderson,1999,188,16,2019-10-06 14:30,6.50
7314,The Circus,Comedy,Charles Chaplin,1928,72,12,2019-10-06 12:30,8.50
7315,La planète sauvage,Animation,René Laloux,1973,72,0,2019-10-06 10:30,7.00
7316,Clerks,Comedy,Kevin Smith,1994,92,16,2019-10-05 16:30,7.00
7317,Magnolia,Drama,Paul Thomas Anderson,1999,188,16,2019-10-05 12:30,7.00
7318,La planète sauvage,Animation,René Laloux,1973,72,0,2019-10-05 10:30,6.50
7319,Stalker,Drama,Andrei Tarkovsky,1979,162,0,2019-10-04 10:00,7.00
7320,Stalker,Drama,Andrei Tarkovsky,1979,162,0,2019-10-03 10:00,6.50
7321,Clerks,Comedy,Kevin Smith,1994,92,16,2019-10-02 13:00,8.50
7322,Reservoir Dogs,Crime,Quentin Tarantino,1992,99,16,2019-10-02 10:30,7.00
7323,The Manchurian Candidate,Drama,John Frankenheimer,1962,126,12,2019-10-01 14:00,6.50
7324,2001: A Space Odyssey,Adventure,Stanley Kubrick,1968,149,0,2019-10-01 10:30,7.50
7325,2001: A Space Odyssey,Adventure,Stanley Kubrick,1968,149,0,2019-09-30 10:00,6.50
7326,Gone with the Wind,Drama,Victor Fleming,1939,238,0,2019-09-29 16:30,6.50
7327,La Strada,Drama,Federico Fellini,1954,108,12,2019-09-29 13:30,7.00
7328,2001: A Space Odyssey,Adventure,Stanley Kubrick,1968,149,0,2019-09-29 10:00,6.50
7329,Lethal Weapon,Action,Richard Donner,1987,109,12,2019-09-28 18:30,8.50
7330,The Manchurian Candidate,Drama,John Frankenheimer,1962,126,12,2019-09-28 15:30,8.50
7331,Loving Vincent,Animation,Dorota Kobiela,2017,94,12,2019-09-28 13:00,6.50
7332,The Manchurian Candidate,Drama,John Frankenheimer,1962,126,12,2019-09-28 10:00,7.00
7333,Dead Poets Society,Comedy,Peter Weir,1989,128,0,2019-09-27 13:30,8.50
7334,The Manchurian Candidate,Drama,John Frankenheimer,1962,126,12,2019-09-27 10:30,8.50
7335,Donnie Brasco,Biography,Mike Newell,1997,127,12,2019-09-26 10:00,8.50
7336,Unforgiven,Drama,Clint Eastwood,1992,130,12,2019-09-25 10:00,8.00
7337,Unforgiven,Drama,Clint Eastwood,1992,130,12,2019-09-24 10:00,8.50
7338,Only the Brave,Action,Joseph Kosinski,2017,134,12,2019-09-23 16:00,7.00
7339,Lethal Weapon,Action,Richard Donner,1987,109,12,2019-09-23 13:00,8.00
7340,Only the Brave,Action,Joseph Kosinski,2017,134,12,2019-09-23 10:00,8.00
7341,Gone with the Wind,Drama,Victor Fleming,1939,238,0,2019-09-22 16:00,6.50
7342,Lethal Weapon,Action,Richard Donner,1987,109,12,2019-09-22 13:30,7.50
7343,Dead Poets Society,Comedy,Peter Weir,1989,128,0,2019-09-22 10:30,7.00
7344,Le notti di Cabiria,Drama,Federico Fellini,1957,110,12,2019-09-21 16:30,8.50
7345,Donnie Brasco,Biography,Mike Newell,1997,127,12,2019-09-21 13:30,8.00
7346,Donnie Brasco,Biography,Mike Newell,1997,127,12,2019-09-21 10:30,7.50
7347,Unforgiven,Drama,Clint Eastwood,1992,130,12,2019-09-20 10:00,7.50
7348,La Strada,Drama,Federico Fellini,1954,108,12,2019-09-19 15:00,8.00
7349,The Circus,Comedy,Charles Chaplin,1928,72,12,2019-09-19 13:00,8.00
7350,Donnie Brasco,Biography,Mike Newell,1997,127,12,2019-09-19 10:00,7.50
7351,Watership Down,Animation,Martin Rosen,1978,91,0,2019-09-18 13:00,7.50
7352,Clerks,Comedy,Kevin Smith,1994,92,16,2019-09-18 10:30,7.00
7353,Donnie Brasco,Biography,Mike Newell,1997,127,12,2019-09-17 16:30,6.50
7354,The Little Mermaid,Animation,Ron Clements,1989,83,0,2019-09-17 14:30,8.00
7355,Magnolia,Drama,Paul Thomas Anderson,1999,188,16,2019-09-17 10:30,7.00
7356,Donnie Brasco,Biography,Mike Newell,1997,127,12,2019-09-16 16:00,6.50
7357,Le notti di Cabiria,Drama,Federico Fellini,1957,110,12,2019-09-16 13:30,6.50
7358,Dead Poets Society,Comedy,Peter Weir,1989,128,0,2019-09-16 10:30,7.00
7359,Donnie Brasco,Biography,Mike Newell,1997,127,12,2019-09-15 16:00,8.50
7360,Lethal Weapon,Action,Richard Donner,1987,109,12,2019-09-15 13:30,7.00
7361,The Remains of the Day,Drama,James Ivory,1993,134,0,2019-09-15 10:30,6.50
7362,Lethal Weapon,Action,Richard Donner,1987,109,12,2019-09-14 19:00,9.50
7363,La Strada,Drama,Federico Fellini,1954,108,12,2019-09-14 16:00,8.00
7364,The Exorcist,Horror,William Friedkin,1973,122,12,2019-09-14 13:00,6.50
7365,Dead Poets Society,Comedy,Peter Weir,1989,128,0,2019-09-14 10:00,8.50
7366,The Manchurian Candidate,Drama,John Frankenheimer,1962,126,12,2019-09-13 15:30,7.50
7367,La Strada,Drama,Federico Fellini,1954,108,12,2019-09-13 13:00,6.50
7368,Lethal Weapon,Action,Richard Donner,1987,109,12,2019-09-13 10:30,7.00
7369,Escape from Alcatraz,Action,Don Siegel,1979,112,12,2019-09-12 15:30,7.50
7370,La Strada,Drama,Federico Fellini,1954,108,12,2019-09-12 13:00,7.00
7371,Dead Poets Society,Comedy,Peter Weir,1989,128,0,2019-09-12 10:00,8.50
7372,God's Own Country,Drama,Francis Lee,2017,104,12,2019-09-11 13:00,7.50
7373,Donnie Brasco,Biography,Mike Newell,1997,127,12,2019-09-11 10:00,8.00
7374,On the Waterfront,Crime,Elia Kazan,1954,108,12,2019-09-10 16:00,6.50
7375,Unforgiven,Drama,Clint Eastwood,1992,130,12,2019-09-10 13:00,8.00
7376,Watership Down,Animation,Martin Rosen,1978,91,0,2019-09-10 10:30,7.00
7377,Lethal Weapon,Action,Richard Donner,1987,109,12,2019-09-09 10:00,7.50
7378,The Gold Rush,Adventure,Charles Chaplin,1925,95,12,2019-09-08 18:00,9.50
7379,Escape from Alcatraz,Action,Don Siegel,1979,112,12,2019-09-08 15:30,7.00
7380,Gone with the Wind,Drama,Victor Fleming,1939,238,0,2019-09-08 10:30,7.50
7381,The Manchurian Candidate,Drama,John Frankenheimer,1962,126,12,2019-09-07 18:30,8.50
7382,Only the Brave,Action,Joseph Kosinski,2017,134,12,2019-09-07 15:30,7.50
7383,Watership Down,Animation,Martin Rosen,1978,91,0,2019-09-07 13:00,7.00
7384,Night on Earth,Comedy,Jim Jarmusch,1991,129,16,2019-09-07 10:00,7.00
7385,The Gold Rush,Adventure,Charles Chaplin,1925,95,12,2019-09-06 16:00,8.50
7386,The Remains of the Day,Drama,James Ivory,1993,134,0,2019-09-06 13:00,6.50
7387,Gifted,Drama,Marc Webb,2017,101,12,2019-09-06 10:30,6.50
7388,God's Own Country,Drama,Francis Lee,2017,104,12,2019-09-05 10:00,7.00
7389,The Little Mermaid,Animation,Ron Clements,1989,83,0,2019-09-04 12:30,6.50
7390,Gifted,Drama,Marc Webb,2017,101,12,2019-09-04 10:00,8.00
7391,Donnie Brasco,Biography,Mike Newell,1997,127,12,2019-09-03 10:00,8.00
7392,On the Waterfront,Crime,Elia Kazan,1954,108,12,2019-09-02 10:30,6.50
7393,Good Will Hunting,Drama,Gus Van Sant,1997,126,0,2019-09-01 16:00,8.50
7394,Only the Brave,Action,Joseph Kosinski,2017,134,12,2019-09-01 13:00,7.50
7395,God's Own Country,Drama,Francis Lee,2017,104,12,2019-09-01 10:30,7.00
7396,Watership Down,Animation,Martin Rosen,1978,91,0,2019-08-31 16:00,8.50
7397,Dark City,Mystery,Alex Proyas,1998,100,12,2019-08-31 13:30,6.50
7398,Night on Earth,Comedy,Jim Jarmusch,1991,129,16,2019-08-31 10:30,6.50
7399,Donnie Brasco,Biography,Mike Newell,1997,127,12,2019-08-30 16:30,7.00
7400,The Little Mermaid,Animation,Ron Clements,1989,83,0,2019-08-30 14:30,7.50
7401,Heat,Crime,Michael Mann,1995,170,12,2019-08-30 10:30,6.50
7402,The Little Mermaid,Animation,Ron Clements,1989,83,0,2019-08-29 17:00,8.00
7403,Breaking the Waves,Drama,Lars von Trier,1996,159,16,2019-08-29 13:30,8.00
7404,1917,Drama,Sam Mendes,2019,119,16,2019-08-29 10:30,7.00
7405,Stalker,Drama,Andrei Tarkovsky,1979,162,0,2019-08-28 13:00,8.00
7406,Escape from Alcatraz,Action,Don Siegel,1979,112,12,2019-08-28 10:30,6.50
7407,The Exorcist,Horror,William Friedkin,1973,122,12,2019-08-27 16:00,6.50
7408,Escape from Alcatraz,Action,Don Siegel,1979,112,12,2019-08-27 13:30,8.50
7409,Donnie Brasco,Biography,Mike Newell,1997,127,12,2019-08-27 10:30,7.00
7410,Good Will Hunting,Drama,Gus Van Sant,1997,126,0,2019-08-26 13:00,6.50
7411,Gifted,Drama,Marc Webb,2017,101,12,2019-08-26 10:30,8.00
7412,1917,Drama,Sam Mendes,2019,119,16,2019-08-25 19:00,9.00
7413,Chinatown,Drama,Roman Polanski,1974,130,12,2019-08-25 16:00,7.00
7414,Dark City,Mystery,Alex Proyas,1998,100,12,2019-08-25 13:30,6.50
7415,Escape from Alcatraz,Action,Don Siegel,1979,112,12,2019-08-25 10:30,8.00
7416,Dead Poets Society,Comedy,Peter Weir,1989,128,0,2019-08-24 16:00,6.50
7417,Only the Brave,Action,Joseph Kosinski,2017,134,12,2019-08-24 13:00,7.00
7418,Good Will Hunting,Drama,Gus Van Sant,1997,126,0,2019-08-24 10:00,7.50
7419,Good Will Hunting,Drama,Gus Van Sant,1997,126,0,2019-08-23 10:30,6.50
7420,Night on Earth,Comedy,Jim Jarmusch,1991,129,16,2019-08-22 16:00,8.00
7421,1917,Drama,Sam Mendes,2019,119,16,2019-08-22 13:30,7.50
7422,Dead Poets Society,Comedy,Peter Weir,1989,128,0,2019-08-22 10:30,8.50
7423,Donnie Brasco,Biography,Mike Newell,1997,127,12,2019-08-21 10:30,8.50
7424,The Exorcist,Horror,William Friedkin,1973,122,12,2019-08-20 10:30,8.50
7425,God's Own Country,Drama,Francis Lee,2017,104,12,2019-08-19 13:00,6.50
7426,The Gold Rush,Adventure,Charles Chaplin,1925,95,12,2019-08-19 10:30,8.00
7427,On the Waterfront,Crime,Elia Kazan,1954,108,12,2019-08-18 15:30,7.00
7428,The Purple Rose of Cairo,Comedy,Woody Allen,1985,82,0,2019-08-18 13:00,6.50
7429,Watership Down,Animation,Martin Rosen,1978,91,0,2019-08-18 10:30,7.00
7430,Night on Earth,Comedy,Jim Jarmusch,1991,129,16,2019-08-17 16:00,7.50
7431,Gifted,Drama,Marc Webb,2017,101,12,2019-08-17 13:30,7.00
7432,Dead Poets Society,Comedy,Peter Weir,1989,128,0,2019-08-17 10:30,8.00
7433,Once Upon a Time in America,Crime,Sergio Leone,1984,229,12,2019-08-16 16:00,6.50
7434,The Little Mermaid,Animation,Ron Clements,1989,83,0,2019-08-16 13:30,7.50
7435,Donnie Brasco,Biography,Mike Newell,1997,127,12,2019-08-16 10:30,6.50
7436,The Exorcist,Horror,William Friedkin,1973,122,12,2019-08-15 10:00,7.00
7437,Breaking the Waves,Drama,Lars von Trier,1996,159,16,2019-08-14 10:00,8.50
7438,Dark City,Mystery,Alex Proyas,1998,100,12,2019-08-13 15:30,7.00
7439,The Purple Rose of Cairo,Comedy,Woody Allen,1985,82,0,2019-08-13 13:30,6.50
7440,Heat,Crime,Michael Mann,1995,170,12,2019-08-13 10:00,8.00
7441,God's Own Country,Drama,Francis Lee,2017,104,12,2019-08-12 10:00,6.50
7442,La passion de Jeanne d'Arc,Biography,Carl Theodor Dreyer,1928,110,12,2019-08-11 18:00,8.50
7443,Dunkirk,Action,Christopher Nolan,2017,106,12,2019-08-11 15:30,7.50
7444,Rebecca,Drama,Alfred Hitchcock,1940,130,12,2019-08-11 12:30,8.50
7445,Gifted,Drama,Marc Webb,2017,101,12,2019-08-11 10:00,7.00
7446,Baahubali 2: The Conclusion,Action,S.S. Rajamouli,2017,167,12,2019-08-10 20:00,10.00
7447,Baahubali 2: The Conclusion,Action,S.S. Rajamouli,2017,167,12,2019-08-10 16:00,8.50
7448,Chinatown,Drama,Roman Polanski,1974,130,12,2019-08-10 13:00,7.00
7449,Chinatown,Drama,Roman Polanski,1974,130,12,2019-08-10 10:00,8.50
7450,The Exorcist,Horror,William Friedkin,1973,122,12,2019-08-09 14:30,7.00
7451,Heat,Crime,Michael Mann,1995,170,12,2019-08-09 10:30,8.00
7452,The Godfather: Part III,Crime,Francis Ford Coppola,1990,162,12,2019-08-08 17:00,7.50
7453,Once Upon a Time in America,Crime,Sergio Leone,1984,229,12,2019-08-08 12:30,8.50
7454,The Naked Gun: From the Files of Police Squad!,Comedy,David Zucker,1988,85,0,2019-08-08 10:00,7.00
7455,Goldfinger,Action,Guy Hamilton,1964,110,12,2019-08-07 15:00,6.50
7456,On the Waterfront,Crime,Elia Kazan,1954,108,12,2019-08-07 12:30,8.00
7457,Gifted,Drama,Marc Webb,2017,101,12,2019-08-07 10:00,8.00
7458,On the Waterfront,Crime,Elia Kazan,1954,108,12,2019-08-06 14:00,8.50
7459,Baahubali 2: The Conclusion,Action,S.S. Rajamouli,2017,167,12,2019-08-06 10:30,7.50
7460,Baahubali 2: The Conclusion,Action,S.S. Rajamouli,2017,167,12,2019-08-05 15:00,8.00
7461,Sholay,Action,Ramesh Sippy,1975,204,0,2019-08-05 10:30,6.50
7462,The Exorcist,Horror,William Friedkin,1973,122,12,2019-08-04 20:30,9.00
7463,La double vie de Véronique,Drama,Krzysztof Kieslowski,1991,98,16,2019-08-04 18:00,9.00
7464,Rebecca,Drama,Alfred Hitchcock,1940,130,12,2019-08-04 15:00,8.50
7465,Once Upon a Time in America,Crime,Sergio Leone,1984,229,12,2019-08-04 10:30,8.00
7466,Goldfinger,Action,Guy Hamilton,1964,110,12,2019-08-03 15:30,7.50
7467,Gifted,Drama,Marc Webb,2017,101,12,2019-08-03 13:00,6.50
7468,La passion de Jeanne d'Arc,Biography,Carl Theodor Dreyer,1928,110,12,2019-08-03 10:30,8.00
7469,Donnie Brasco,Biography,Mike Newell,1997,127,12,2019-08-02 16:00,6.50
7470,Nelyubov,Drama,Andrey Zvyagintsev,2017,127,16,2019-08-02 13:00,7.00
7471,Chinatown,Drama,Roman Polanski,1974,130,12,2019-08-02 10:00,7.00
7472,La passion de Jeanne d'Arc,Biography,Carl Theodor Dreyer,1928,110,12,2019-08-01 12:30,8.00
7473,La double vie de Véronique,Drama,Krzysztof Kieslowski,1991,98,16,2019-08-01 10:00,7.50
7474,Malcolm X,Biography,Spike Lee,1992,202,0,2019-07-31 10:30,8.50
7475,Fried Green Tomatoes,Drama,Jon Avnet,1991,130,12,2019-07-30 10:00,8.50
7476,The Purple Rose of Cairo,Comedy,Woody Allen,1985,82,0,2019-07-29 17:30,7.50
7477,Rebecca,Drama,Alfred Hitchcock,1940,130,12,2019-07-29 14:30,7.50
7478,Once Upon a Time in America,Crime,Sergio Leone,1984,229,12,2019-07-29 10:00,8.00
7479,La passion de Jeanne d'Arc,Biography,Carl Theodor Dreyer,1928,110,12,2019-07-28 19:00,10.00
7480,The Godfather: Part III,Crime,Francis Ford Coppola,1990,162,12,2019-07-28 15:30,7.50
7481,Donnie Brasco,Biography,Mike Newell,1997,127,12,2019-07-28 12:30,8.00
7482,Dunkirk,Action,Christopher Nolan,2017,106,12,2019-07-28 10:00,6.50
7483,Sabrina,Comedy,Billy Wilder,1954,113,12,2019-07-27 16:00,6.50
7484,Taxi Driver,Crime,Martin Scorsese,1976,114,12,2019-07-27 13:00,7.00
7485,The Naked Gun: From the Files of Police Squad!,Comedy,David Zucker,1988,85,0,2019-07-27 10:30,7.50
7486,The Godfather: Part III,Crime,Francis Ford Coppola,1990,162,12,2019-07-26 17:00,7.00
7487,Once Upon a Time in America,Crime,Sergio Leone,1984,229,12,2019-07-26 12:30,7.50
7488,Gifted,Drama,Marc Webb,2017,101,12,2019-07-26 10:00,8.00
7489,La double vie de Véronique,Drama,Krzysztof Kieslowski,1991,98,16,2019-07-25 16:00,8.50
7490,Fried Green Tomatoes,Drama,Jon Avnet,1991,130,12,2019-07-25 13:00,8.00
7491,Chinatown,Drama,Roman Polanski,1974,130,12,2019-07-25 10:00,7.00
7492,Rebecca,Drama,Alfred Hitchcock,1940,130,12,2019-07-24 13:00,8.00
7493,Sabrina,Comedy,Billy Wilder,1954,113,12,2019-07-24 10:30,6.50
7494,Rebecca,Drama,Alfred Hitchcock,1940,130,12,2019-07-23 16:00,7.50
7495,Sabrina,Comedy,Billy Wilder,1954,113,12,2019-07-23 13:30,7.00
7496,Sabrina,Comedy,Billy Wilder,1954,113,12,2019-07-23 10:30,7.00
7497,Fried Green Tomatoes,Drama,Jon Avnet,1991,130,12,2019-07-22 12:30,8.00
7498,Dunkirk,Action,Christopher Nolan,2017,106,12,2019-07-22 10:00,6.50
7499,The Naked Gun: From the Files of Police Squad!,Comedy,David Zucker,1988,85,0,2019-07-21 19:30,9.00
7500,Trois couleurs: Rouge,Drama,Krzysztof Kieslowski,1994,99,0,2019-07-21 17:00,8.50
7501,La passion de Jeanne d'Arc,Biography,Carl Theodor Dreyer,1928,110,12,2019-07-21 14:30,6.50
7502,Sholay,Action,Ramesh Sippy,1975,204,0,2019-07-21 10:00,7.00
7503,Once Upon a Time in America,Crime,Sergio Leone,1984,229,12,2019-07-20 19:30,9.00
7504,The Long Goodbye,Comedy,Robert Altman,1973,112,12,2019-07-20 16:30,7.00
7505,The Godfather: Part III,Crime,Francis Ford Coppola,1990,162,12,2019-07-20 13:00,6.50
7506,Sabrina,Comedy,Billy Wilder,1954,113,12,2019-07-20 10:00,6.50
7507,Nelyubov,Drama,Andrey Zvyagintsev,2017,127,16,2019-07-19 10:00,6.50
7508,Malcolm X,Biography,Spike Lee,1992,202,0,2019-07-18 10:00,8.00
7509,Malcolm X,Biography,Spike Lee,1992,202,0,2019-07-17 12:30,6.50
7510,Viskningar och rop,Drama,Ingmar Bergman,1972,91,12,2019-07-17 10:00,7.00
7511,Gifted,Drama,Marc Webb,2017,101,12,2019-07-16 10:00,8.50
7512,Nelyubov,Drama,Andrey Zvyagintsev,2017,127,16,2019-07-15 16:00,7.50
7513,Trois couleurs: Blanc,Comedy,Krzysztof Kieslowski,1994,92,0,2019-07-15 13:30,8.50
7514,The Quiet Man,Comedy,John Ford,1952,129,12,2019-07-15 10:30,8.50
7515,Sabrina,Comedy,Billy Wilder,1954,113,12,2019-07-14 18:00,9.00
7516,The Long Goodbye,Comedy,Robert Altman,1973,112,12,2019-07-14 15:30,6.50
7517,La double vie de Véronique,Drama,Krzysztof Kieslowski,1991,98,16,2019-07-14 13:00,8.00
7518,La passion de Jeanne d'Arc,Biography,Carl Theodor Dreyer,1928,110,12,2019-07-14 10:00,7.50
7519,Wind River,Crime,Taylor Sheridan,2017,107,16,2019-07-13 20:30,10.00
7520,Once Upon a Time in America,Crime,Sergio Leone,1984,229,12,2019-07-13 16:00,7.00
7521,The Long Goodbye,Comedy,Robert Altman,1973,112,12,2019-07-13 13:00,6.50
7522,The Long Goodbye,Comedy,Robert Altman,1973,112,12,2019-07-13 10:00,6.50
7523,La Strada,Drama,Federico Fellini,1954,108,12,2019-07-12 10:00,6.50
7524,The Dirty Dozen,Action,Robert Aldrich,1967,150,12,2019-07-11 18:30,8.50
7525,Sholay,Action,Ramesh Sippy,1975,204,0,2019-07-11 14:00,8.50
7526,Malcolm X,Biography,Spike Lee,1992,202,0,2019-07-11 10:00,7.50
7527,Sabrina,Comedy,Billy Wilder,1954,113,12,2019-07-10 10:30,7.50
7528,Malcolm X,Biography,Spike Lee,1992,202,0,2019-07-09 10:00,7.50
7529,The Naked Gun: From the Files of Police Squad!,Comedy,David Zucker,1988,85,0,2019-07-08 18:00,9.50
7530,Fried Green Tomatoes,Drama,Jon Avnet,1991,130,12,2019-07-08 15:00,7.50
7531,Once Upon a Time in America,Crime,Sergio Leone,1984,229,12,2019-07-08 10:30,7.50
7532,Singin' in the Rain,Comedy,Stanley Donen,1952,103,0,2019-07-07 19:00,9.50
7533,Wind River,Crime,Taylor Sheridan,2017,107,16,2019-07-07 16:30,8.00
7534,"Lock, Stock and Two Smoking Barrels",Action,Guy Ritchie,1998,107,12,2019-07-07 14:00,6.50
7535,Sholay,Action,Ramesh Sippy,1975,204,0,2019-07-07 10:00,7.00
7536,The Quiet Man,Comedy,John Ford,1952,129,12,2019-07-06 20:30,10.00
7537,Malcolm X,Biography,Spike Lee,1992,202,0,2019-07-06 16:00,7.50
7538,Fried Green Tomatoes,Drama,Jon Avnet,1991,130,12,2019-07-06 13:00,6.50
7539,Sabrina,Comedy,Billy Wilder,1954,113,12,2019-07-06 10:30,7.50
7540,The Dirty Dozen,Action,Robert Aldrich,1967,150,12,2019-07-05 13:30,7.50
7541,As Good as It Gets,Comedy,James L. Brooks,1997,139,12,2019-07-05 10:30,8.50
7542,The Wizard of Oz,Adventure,Victor Fleming,1939,102,0,2019-07-04 16:30,7.00
7543,Trois couleurs: Blanc,Comedy,Krzysztof Kieslowski,1994,92,0,2019-07-04 14:00,7.50
7544,Titanic,Drama,James Cameron,1997,194,12,2019-07-04 10:00,6.50
7545,Malcolm X,Biography,Spike Lee,1992,202,0,2019-07-03 15:00,7.50
7546,Trois couleurs: Blanc,Comedy,Krzysztof Kieslowski,1994,92,0,2019-07-03 12:30,8.50
7547,"Lock, Stock and Two Smoking Barrels",Action,Guy Ritchie,1998,107,12,2019-07-03 10:00,6.50
7548,The Philadelphia Story,Comedy,George Cukor,1940,112,12,2019-07-02 16:00,8.50
7549,The Dirty Dozen,Action,Robert Aldrich,1967,150,12,2019-07-02 12:30,8.50
7550,Dirty Harry,Action,Don Siegel,1971,102,12,2019-07-02 10:00,8.00
7551,The Philadelphia Story,Comedy,George Cukor,1940,112,12,2019-07-01 10:30,6.50
7552,Le samouraï,Crime,Jean-Pierre Melville,1967,105,12,2019-06-30 18:30,9.00
7553,The Wizard of Oz,Adventure,Victor Fleming,1939,102,0,2019-06-30 16:00,8.50
7554,Notorious,Drama,Alfred Hitchcock,1946,102,0,2019-06-30 13:30,8.50
7555,The Quiet Man,Comedy,John Ford,1952,129,12,2019-06-30 10:30,7.50
7556,Once Upon a Time in America,Crime,Sergio Leone,1984,229,12,2019-06-29 22:30,10.00
7557,Shichinin no samurai,Action,Akira Kurosawa,1954,207,0,2019-06-29 18:00,8.50
7558,Shichinin no samurai,Action,Akira Kurosawa,1954,207,0,2019-06-29 13:30,7.00
7559,The Quiet Man,Comedy,John Ford,1952,129,12,2019-06-29 10:30,8.00
7560,The Outlaw Josey Wales,Western,Clint Eastwood,1976,135,12,2019-06-28 13:00,6.50
7561,La double vie de Véronique,Drama,Krzysztof Kieslowski,1991,98,16,2019-06-28 10:30,6.50
7562,La Strada,Drama,Federico Fellini,1954,108,12,2019-06-27 10:30,6.50
7563,Once Upon a Time in America,Crime,Sergio Leone,1984,229,12,2019-06-26 10:00,8.50
7564,Fried Green Tomatoes,Drama,Jon Avnet,1991,130,12,2019-06-25 17:00,7.50
7565,Le samouraï,Crime,Jean-Pierre Melville,1967,105,12,2019-06-25 14:30,7.00
7566,Shichinin no samurai,Action,Akira Kurosawa,1954,207,0,2019-06-25 10:00,8.00
7567,Wind River,Crime,Taylor Sheridan,2017,107,16,2019-06-24 17:00,8.50
7568,Donnie Brasco,Biography,Mike Newell,1997,127,12,2019-06-24 14:00,8.00
7569,The Dirty Dozen,Action,Robert Aldrich,1967,150,12,2019-06-24 10:30,6.50
7570,Fried Green Tomatoes,Drama,Jon Avnet,1991,130,12,2019-06-23 19:00,8.50
7571,Night on Earth,Comedy,Jim Jarmusch,1991,129,16,2019-06-23 16:00,8.50
7572,Donnie Brasco,Biography,Mike Newell,1997,127,12,2019-06-23 13:00,6.50
7573,Wind River,Crime,Taylor Sheridan,2017,107,16,2019-06-23 10:30,7.00
7574,Shichinin no samurai,Action,Akira Kurosawa,1954,207,0,2019-06-22 18:00,8.50
7575,Trois couleurs: Blanc,Comedy,Krzysztof Kieslowski,1994,92,0,2019-06-22 15:30,8.00
7576,La Strada,Drama,Federico Fellini,1954,108,12,2019-06-22 13:00,8.50
7577,Le samouraï,Crime,Jean-Pierre Melville,1967,105,12,2019-06-22 10:30,7.00
7578,As Good as It Gets,Comedy,James L. Brooks,1997,139,12,2019-06-21 14:30,7.50
7579,Titanic,Drama,James Cameron,1997,194,12,2019-06-21 10:30,8.50
7580,Trois couleurs: Rouge,Drama,Krzysztof Kieslowski,1994,99,0,2019-06-20 13:00,8.00
7581,Trois couleurs: Rouge,Drama,Krzysztof Kieslowski,1994,99,0,2019-06-20 10:30,8.00
7582,Se7en,Crime,David Fincher,1995,127,12,2019-06-19 13:00,7.50
7583,Jules et Jim,Drama,François Truffaut,1962,105,12,2019-06-19 10:30,8.00
7584,Jules et Jim,Drama,François Truffaut,1962,105,12,2019-06-18 16:00,7.50
7585,Raging Bull,Biography,Martin Scorsese,1980,129,12,2019-06-18 13:00,6.50
7586,Young Frankenstein,Comedy,Mel Brooks,1974,106,12,2019-06-18 10:30,8.50
7587,As Good as It Gets,Comedy,James L. Brooks,1997,139,12,2019-06-17 12:30,6.50
7588,The Wizard of Oz,Adventure,Victor Fleming,1939,102,0,2019-06-17 10:00,6.50
7589,Jules et Jim,Drama,François Truffaut,1962,105,12,2019-06-16 15:30,6.50
7590,Goldfinger,Action,Guy Hamilton,1964,110,12,2019-06-16 13:00,7.00
7591,The Wizard of Oz,Adventure,Victor Fleming,1939,102,0,2019-06-16 10:30,7.00
7592,Shichinin no samurai,Action,Akira Kurosawa,1954,207,0,2019-06-15 19:30,9.00
7593,Shichinin no samurai,Action,Akira Kurosawa,1954,207,0,2019-06-15 15:00,6.50
7594,Jules et Jim,Drama,François Truffaut,1962,105,12,2019-06-15 12:30,7.00
